session_id,ike_version,ike_mode,encryption_algorithm,key_length_bits,hash_algorithm,dh_group,auth_method,operation_mode,pfs_enabled,sa_lifetime_seconds,risk_score,risk_label,flagged_issues
545d4197-c0fa-47cb-95f2-e388faed5ac2,IKEv1,Main,DES,56,MD5,14,ECDSA-Sig,Tunnel,True,3600,91,Critical,Legacy IKEv1 used; Weak encryption DES; Weak hash MD5
84d3e4c9-20a3-423a-ac40-dca25be68167,IKEv2,Main,AES-128-CBC,128,MD5,5,PSK,Transport,True,28800,55,Moderate,Weak hash MD5; Weak DH group 5
3052550c-c961-4c18-93c5-34f2fdb35c95,IKEv1,Quick,DES,56,SHA384,2,PSK,Transport,True,86400,85,Critical,Legacy IKEv1 used; Weak encryption DES; Weak DH group 2
98e636d4-2d7a-4015-b92e-5524868f78a4,IKEv2,Main,AES-256-GCM,256,SHA256,14,RSA-Sig,Tunnel,True,3600,0,Low,None
2f121fe5-625c-4890-a21a-486ec651ce72,IKEv2,Main,ChaCha20-Poly1305,256,SHA256,1,PSK,Transport,True,86400,28,Strong,Weak DH group 1
9a2fd95f-b564-49e7-a20a-6f813c28901b,IKEv1,Quick,DES,56,SHA1,2,PSK,Tunnel,True,86400,100,Critical,Legacy IKEv1 used; Weak encryption DES; Weak hash SHA1; Weak DH group 2
143be207-0f31-439f-ae9b-554982f2189a,IKEv2,Main,AES-256-GCM,256,SHA384,20,PSK,Tunnel,True,3600,3,Low,None
31b1d7a8-e409-4095-b8fb-d27bfc218407,IKEv2,Main,AES-256-GCM,256,SHA384,19,ECDSA-Sig,Tunnel,True,28800,4,Low,None
3e503d11-5a80-414c-ba0b-1d805543ba15,IKEv2,Main,3DES,112,SHA512,20,PSK,Tunnel,False,28800,55,Moderate,Weak encryption 3DES; Perfect Forward Secrecy (PFS) is disabled
1ddc9943-1531-4103-a79d-6ba6ab397578,IKEv2,Main,3DES,112,SHA384,1,ECDSA-Sig,Transport,True,3600,73,Weak,Weak encryption 3DES; Weak DH group 1
3f06f185-2459-47a2-9241-267212a05bfc,IKEv1,Aggressive,DES,56,SHA384,19,PSK,Tunnel,True,28800,100,Critical,Legacy IKEv1 used; IKEv1 Aggressive mode vulnerable to offline dictionary attacks; Weak encryption DES; PSK with Aggressive Mode is highly risky
346bbfb1-20b9-4685-84ab-ae82fde7cb0f,IKEv2,Main,DES,56,SHA512,1,ECDSA-Sig,Transport,False,86400,95,Critical,Weak encryption DES; Weak DH group 1; Perfect Forward Secrecy (PFS) is disabled
1608ada0-daab-498c-9d70-2b1981cf7060,IKEv1,Main,AES-256-CBC,256,MD5,20,PSK,Transport,False,28800,73,Weak,Legacy IKEv1 used; Weak hash MD5; Perfect Forward Secrecy (PFS) is disabled
5f8f1bfa-c61f-4068-aa6c-6a57332edaa5,IKEv2,Main,AES-128-CBC,128,MD5,19,PSK,Transport,True,86400,31,Strong,Weak hash MD5
3f6101c8-6be7-4d4d-8f96-ce2951f1b452,IKEv2,Main,3DES,112,SHA384,20,ECDSA-Sig,Tunnel,False,3600,58,Moderate,Weak encryption 3DES; Perfect Forward Secrecy (PFS) is disabled
9cbb9a5e-c4cf-4b83-a631-d3a693cf3bca,IKEv2,Main,ChaCha20-Poly1305,256,SHA1,19,RSA-Sig,Transport,False,86400,52,Moderate,Weak hash SHA1; Perfect Forward Secrecy (PFS) is disabled
791674a2-aa48-4b7b-8f07-e2930e9db1a5,IKEv2,Main,AES-128-CBC,128,SHA256,1,ECDSA-Sig,Transport,False,3600,54,Moderate,Weak DH group 1; Perfect Forward Secrecy (PFS) is disabled
afecdbd1-985a-4260-b949-1490a6aa2928,IKEv2,Main,ChaCha20-Poly1305,256,SHA256,21,PSK,Tunnel,False,86400,19,Low,Perfect Forward Secrecy (PFS) is disabled
d407ddf3-3cda-4bd7-af24-45113d82a569,IKEv1,Main,AES-128-CBC,128,SHA384,14,ECDSA-Sig,Transport,True,28800,15,Low,Legacy IKEv1 used
c7ce236e-0e6f-4963-a362-b7d77478445d,IKEv2,Main,AES-128-CBC,128,SHA384,31,ECDSA-Sig,Transport,True,3600,0,Low,None
206ca43d-458c-4b47-9967-7eb94e3f8539,IKEv2,Main,3DES,112,MD5,5,PSK,Tunnel,False,86400,100,Critical,Weak encryption 3DES; Weak hash MD5; Weak DH group 5; Perfect Forward Secrecy (PFS) is disabled
3a8cd7fb-0b92-4f06-a831-25086b4978f1,IKEv2,Main,3DES,112,SHA256,21,RSA-Sig,Transport,True,3600,40,Moderate,Weak encryption 3DES
8b926b72-8cd6-4bbe-8909-7f5aedc60f0c,IKEv1,Aggressive,AES-256-CBC,256,SHA512,19,ECDSA-Sig,Tunnel,True,3600,49,Moderate,Legacy IKEv1 used; IKEv1 Aggressive mode vulnerable to offline dictionary attacks
e0f1a237-97de-4181-8a10-cce1a12423db,IKEv2,Main,AES-128-CBC,128,SHA384,31,RSA-Sig,Transport,True,86400,0,Low,None
31b4a249-6ccf-4cb4-97ec-c2f23da9abad,IKEv2,Main,AES-256-CBC,256,SHA384,20,ECDSA-Sig,Transport,False,3600,18,Low,Perfect Forward Secrecy (PFS) is disabled
20fbfd07-4fe5-4dd8-a992-91a6188a0c89,IKEv2,Main,AES-256-GCM,256,SHA1,31,RSA-Sig,Transport,False,28800,50,Moderate,Weak hash SHA1; Perfect Forward Secrecy (PFS) is disabled
a721a3de-c500-48f6-b720-2dbca0f28c38,IKEv2,Main,AES-256-GCM,256,MD5,14,PSK,Transport,True,28800,26,Strong,Weak hash MD5
47194e94-c8ff-4116-a644-0672a66f718f,IKEv2,Main,AES-256-CBC,256,SHA256,1,PSK,Transport,False,86400,46,Moderate,Weak DH group 1; Perfect Forward Secrecy (PFS) is disabled
100fdbde-f747-4d2d-818f-a5b6045fc886,IKEv2,Main,ChaCha20-Poly1305,256,SHA512,5,RSA-Sig,Transport,True,86400,31,Strong,Weak DH group 5
a8b0eb0f-feaa-4920-8316-b597b442e767,IKEv2,Main,ChaCha20-Poly1305,256,MD5,14,ECDSA-Sig,Transport,True,3600,26,Strong,Weak hash MD5
ec82a08a-d43c-4087-9ba0-d64e33edd2ad,IKEv1,Quick,AES-256-CBC,256,SHA256,31,PSK,Transport,True,28800,20,Strong,Legacy IKEv1 used
3f9bdf0e-149e-4ffd-ba6b-2f4a0303106b,IKEv2,Main,AES-256-GCM,256,SHA256,14,PSK,Tunnel,False,3600,20,Strong,Perfect Forward Secrecy (PFS) is disabled
055016a0-cd98-4b84-8182-afbc8333bb1c,IKEv2,Main,AES-256-GCM,256,SHA256,14,PSK,Transport,True,3600,4,Low,None
b875012e-2c0f-4730-89ec-d95cbbc06a3c,IKEv2,Main,DES,56,SHA256,31,RSA-Sig,Tunnel,False,86400,59,Moderate,Weak encryption DES; Perfect Forward Secrecy (PFS) is disabled
19708fad-73c1-42c4-852f-30e22f250d1f,IKEv2,Main,AES-128-CBC,128,SHA1,31,ECDSA-Sig,Transport,True,28800,25,Strong,Weak hash SHA1
5c8d92da-2e20-4ba5-974c-f735a8b29b53,IKEv1,Aggressive,3DES,112,SHA1,1,PSK,Tunnel,True,28800,100,Critical,Legacy IKEv1 used; IKEv1 Aggressive mode vulnerable to offline dictionary attacks; Weak encryption 3DES; Weak hash SHA1; Weak DH group 1; PSK with Aggressive Mode is highly risky
9b09967a-e2f2-4e68-aad3-35267cefba69,IKEv2,Main,AES-256-GCM,256,SHA1,21,RSA-Sig,Tunnel,False,3600,53,Moderate,Weak hash SHA1; Perfect Forward Secrecy (PFS) is disabled
90e07da7-041e-4052-a18c-60402c2c3d20,IKEv2,Main,AES-256-CBC,256,SHA1,21,PSK,Transport,True,3600,26,Strong,Weak hash SHA1
49d60133-f01e-4d64-9764-882caa3f6f06,IKEv1,Aggressive,ChaCha20-Poly1305,256,SHA384,5,ECDSA-Sig,Tunnel,False,28800,100,Critical,Legacy IKEv1 used; IKEv1 Aggressive mode vulnerable to offline dictionary attacks; Weak DH group 5; Perfect Forward Secrecy (PFS) is disabled
3ec767ae-cc4b-4504-9378-0afc7c57432b,IKEv1,Quick,ChaCha20-Poly1305,256,SHA256,1,RSA-Sig,Tunnel,False,3600,66,Weak,Legacy IKEv1 used; Weak DH group 1; Perfect Forward Secrecy (PFS) is disabled
88fabc8e-ee5c-46d3-a067-96ddce904c0b,IKEv2,Main,3DES,112,MD5,14,RSA-Sig,Transport,True,28800,73,Weak,Weak encryption 3DES; Weak hash MD5
c174dfb8-363c-405d-9130-b6a3294281f4,IKEv2,Main,AES-256-GCM,256,MD5,31,PSK,Transport,False,3600,49,Moderate,Weak hash MD5; Perfect Forward Secrecy (PFS) is disabled
dbececf2-6efb-497c-b71b-b9339ea79b86,IKEv2,Main,ChaCha20-Poly1305,256,SHA512,31,RSA-Sig,Tunnel,True,86400,5,Low,None
28a881bb-6932-437c-b8a9-ef30623e5656,IKEv1,Main,3DES,112,SHA384,2,RSA-Sig,Tunnel,True,86400,94,Critical,Legacy IKEv1 used; Weak encryption 3DES; Weak DH group 2
273745f7-c23f-45d2-84ce-3172436f7892,IKEv2,Main,3DES,112,SHA1,19,RSA-Sig,Tunnel,False,86400,90,Critical,Weak encryption 3DES; Weak hash SHA1; Perfect Forward Secrecy (PFS) is disabled
0379304c-aa8c-42ed-b9d7-8871d5a34621,IKEv2,Main,AES-256-CBC,256,SHA512,1,RSA-Sig,Transport,True,86400,34,Strong,Weak DH group 1
f54d7333-4f24-4ff5-96ed-c4a40c06672f,IKEv1,Aggressive,ChaCha20-Poly1305,256,MD5,31,PSK,Tunnel,True,3600,98,Critical,Legacy IKEv1 used; IKEv1 Aggressive mode vulnerable to offline dictionary attacks; Weak hash MD5; PSK with Aggressive Mode is highly risky
f3756223-0f0b-456b-a7cf-76dc1df64607,IKEv2,Main,AES-256-GCM,256,SHA512,21,ECDSA-Sig,Transport,False,86400,16,Low,Perfect Forward Secrecy (PFS) is disabled
651b3bac-5db3-4198-af38-6f931aa159f8,IKEv2,Main,DES,56,SHA512,20,PSK,Tunnel,True,28800,35,Strong,Weak encryption DES
b792c19d-443a-4b26-84cd-40811becfb71,IKEv2,Main,AES-256-CBC,256,SHA512,14,RSA-Sig,Transport,False,3600,25,Strong,Perfect Forward Secrecy (PFS) is disabled
98a87951-579a-4801-90a9-2034b14a2c8b,IKEv2,Main,DES,56,SHA512,21,RSA-Sig,Transport,False,3600,58,Moderate,Weak encryption DES; Perfect Forward Secrecy (PFS) is disabled
75d93433-86ad-4b17-90b6-74eee6eb81c3,IKEv2,Main,AES-256-CBC,256,SHA1,2,ECDSA-Sig,Transport,False,3600,79,Weak,Weak hash SHA1; Weak DH group 2; Perfect Forward Secrecy (PFS) is disabled
7dab09d3-4f16-4c27-ba41-0fc11367e4f9,IKEv2,Main,AES-256-GCM,256,SHA384,31,ECDSA-Sig,Transport,True,86400,0,Low,None
18cdae3f-3000-4b72-9c1d-a9a9413c65c9,IKEv2,Main,AES-256-CBC,256,SHA1,5,PSK,Tunnel,True,86400,58,Moderate,Weak hash SHA1; Weak DH group 5
a8c29330-c1e9-4cc1-b13c-484403728167,IKEv2,Main,AES-256-CBC,256,SHA256,1,PSK,Transport,False,86400,46,Moderate,Weak DH group 1; Perfect Forward Secrecy (PFS) is disabled
2fe7a3d5-369a-48b8-902f-7f1c5eb60368,IKEv1,Main,AES-256-CBC,256,SHA1,19,ECDSA-Sig,Transport,True,86400,51,Moderate,Legacy IKEv1 used; Weak hash SHA1
9ed8dde6-ed19-4064-ac15-7994f0ed0837,IKEv1,Main,3DES,112,SHA1,2,RSA-Sig,Transport,True,3600,100,Critical,Legacy IKEv1 used; Weak encryption 3DES; Weak hash SHA1; Weak DH group 2
fb82f60b-fbd6-4e8f-83ff-6aa750baa48b,IKEv2,Main,3DES,112,SHA512,2,PSK,Tunnel,True,3600,72,Weak,Weak encryption 3DES; Weak DH group 2
615cfd64-16fd-4b96-9c46-53c4e770c8a2,IKEv2,Main,DES,56,SHA384,2,PSK,Tunnel,False,86400,95,Critical,Weak encryption DES; Weak DH group 2; Perfect Forward Secrecy (PFS) is disabled
bf68802a-f64c-4b72-a3fe-374b3781a844,IKEv2,Main,AES-256-CBC,256,SHA1,1,ECDSA-Sig,Transport,False,86400,80,Critical,Weak hash SHA1; Weak DH group 1; Perfect Forward Secrecy (PFS) is disabled
c2e85e24-071e-4e78-bf1e-3d4915ed1b05,IKEv2,Main,AES-256-GCM,256,SHA384,1,ECDSA-Sig,Tunnel,True,3600,27,Strong,Weak DH group 1
3e3f56e5-b981-437f-aad7-0d9e9ef26a0b,IKEv1,Aggressive,DES,56,MD5,20,PSK,Transport,True,86400,100,Critical,Legacy IKEv1 used; IKEv1 Aggressive mode vulnerable to offline dictionary attacks; Weak encryption DES; Weak hash MD5; PSK with Aggressive Mode is highly risky
c97a2641-d154-4b8e-a780-a6fb8789b0ea,IKEv1,Main,DES,56,SHA256,14,PSK,Tunnel,False,28800,80,Critical,Legacy IKEv1 used; Weak encryption DES; Perfect Forward Secrecy (PFS) is disabled
77c950b5-f8e3-4bcd-a9a8-c5dda8f310fa,IKEv2,Main,AES-256-CBC,256,SHA256,2,ECDSA-Sig,Transport,True,3600,28,Strong,Weak DH group 2
3292daa6-2214-4475-8fae-ae44b344e4a8,IKEv1,Main,AES-256-CBC,256,SHA256,19,PSK,Tunnel,False,3600,45,Moderate,Legacy IKEv1 used; Perfect Forward Secrecy (PFS) is disabled
e9ffa681-6daf-48f6-825a-cb44928e1dfb,IKEv1,Main,3DES,112,SHA1,21,RSA-Sig,Tunnel,False,3600,100,Critical,Legacy IKEv1 used; Weak encryption 3DES; Weak hash SHA1; Perfect Forward Secrecy (PFS) is disabled
c1a250ef-1d9b-4272-8904-74854b0f2fd3,IKEv2,Main,AES-256-GCM,256,SHA256,5,RSA-Sig,Tunnel,False,3600,55,Moderate,Weak DH group 5; Perfect Forward Secrecy (PFS) is disabled
2f89dd24-290d-4ebb-8fbe-f6b1df5410b3,IKEv2,Main,AES-256-CBC,256,MD5,19,RSA-Sig,Tunnel,False,3600,55,Moderate,Weak hash MD5; Perfect Forward Secrecy (PFS) is disabled
3b3e34d2-58f2-470a-99ab-4a462210853d,IKEv1,Main,3DES,112,SHA256,2,RSA-Sig,Tunnel,True,3600,86,Critical,Legacy IKEv1 used; Weak encryption 3DES; Weak DH group 2
351460a0-8134-47c4-976d-5a1bc94c10fd,IKEv1,Main,DES,56,SHA384,1,ECDSA-Sig,Tunnel,True,3600,94,Critical,Legacy IKEv1 used; Weak encryption DES; Weak DH group 1
4c204fda-deb5-4e42-b26b-94f710655754,IKEv2,Main,ChaCha20-Poly1305,256,SHA384,21,ECDSA-Sig,Tunnel,False,28800,25,Strong,Perfect Forward Secrecy (PFS) is disabled
7a7e22bb-fdcf-4227-bdc0-5a145583a81e,IKEv2,Main,3DES,112,SHA1,5,ECDSA-Sig,Transport,True,3600,97,Critical,Weak encryption 3DES; Weak hash SHA1; Weak DH group 5
c9b3c2c3-5eea-4394-bc4b-e85a0ed8709a,IKEv1,Aggressive,3DES,112,SHA384,14,PSK,Tunnel,True,86400,100,Critical,Legacy IKEv1 used; IKEv1 Aggressive mode vulnerable to offline dictionary attacks; Weak encryption 3DES; PSK with Aggressive Mode is highly risky
c8e1aed1-5ced-4ae7-90e5-96a28ce02677,IKEv2,Main,AES-256-GCM,256,SHA384,20,PSK,Tunnel,False,3600,18,Low,Perfect Forward Secrecy (PFS) is disabled
50905f5a-9db6-4cca-8691-3516c6543125,IKEv1,Main,ChaCha20-Poly1305,256,SHA512,20,RSA-Sig,Transport,True,3600,17,Low,Legacy IKEv1 used
a5cfe3ac-4ca1-4823-9eae-6af24c92de1c,IKEv1,Main,ChaCha20-Poly1305,256,SHA512,5,PSK,Transport,True,86400,52,Moderate,Legacy IKEv1 used; Weak DH group 5
2d1b5664-3c84-4255-aeb7-1011ad044de2,IKEv2,Main,3DES,112,MD5,1,RSA-Sig,Tunnel,True,3600,100,Critical,Weak encryption 3DES; Weak hash MD5; Weak DH group 1
cd5ffe1f-8c25-4e30-9376-a3810bbd65d3,IKEv2,Main,ChaCha20-Poly1305,256,SHA256,31,ECDSA-Sig,Tunnel,True,28800,0,Low,None
618efe08-1d4d-4040-b2fe-e0e86634c038,IKEv2,Main,ChaCha20-Poly1305,256,SHA384,31,PSK,Transport,False,28800,25,Strong,Perfect Forward Secrecy (PFS) is disabled
67ab83fc-c040-408d-a20e-00d5348c0ae5,IKEv2,Main,AES-256-CBC,256,SHA1,14,PSK,Tunnel,False,86400,53,Moderate,Weak hash SHA1; Perfect Forward Secrecy (PFS) is disabled
1b9c8cfa-da4a-4847-a364-5392891ce110,IKEv2,Main,DES,56,MD5,1,PSK,Transport,True,3600,98,Critical,Weak encryption DES; Weak hash MD5; Weak DH group 1
221cb13f-5943-4c12-b7ca-6cf9314fdf28,IKEv1,Quick,AES-256-GCM,256,SHA1,5,PSK,Tunnel,True,28800,85,Critical,Legacy IKEv1 used; Weak hash SHA1; Weak DH group 5
8e9eb710-fbb5-4eb9-ac71-da45f51aa5e9,IKEv1,Aggressive,3DES,112,SHA256,19,PSK,Tunnel,False,3600,100,Critical,Legacy IKEv1 used; IKEv1 Aggressive mode vulnerable to offline dictionary attacks; Weak encryption 3DES; PSK with Aggressive Mode is highly risky; Perfect Forward Secrecy (PFS) is disabled
80e99bf9-49bd-4ff8-8f67-8f707f08173b,IKEv2,Main,3DES,112,MD5,5,PSK,Transport,True,3600,95,Critical,Weak encryption 3DES; Weak hash MD5; Weak DH group 5
3dcf5ae4-9d80-456c-9f28-4bec38356005,IKEv2,Main,AES-128-CBC,128,MD5,19,PSK,Transport,True,86400,28,Strong,Weak hash MD5
984cacfa-5950-4d7a-a2b8-b156e24a12bf,IKEv1,Main,ChaCha20-Poly1305,256,SHA384,1,PSK,Tunnel,True,28800,45,Moderate,Legacy IKEv1 used; Weak DH group 1
b6a05596-87bd-4058-95c2-4e944ccaf603,IKEv2,Main,AES-256-GCM,256,SHA512,19,RSA-Sig,Transport,True,3600,0,Low,None
f04d985a-2517-4d91-a37f-370484300bd4,IKEv1,Main,ChaCha20-Poly1305,256,MD5,5,PSK,Tunnel,False,28800,100,Critical,Legacy IKEv1 used; Weak hash MD5; Weak DH group 5; Perfect Forward Secrecy (PFS) is disabled
bbab662d-ec49-4a17-89d7-9c7e2e45a6f0,IKEv2,Main,3DES,112,SHA384,21,ECDSA-Sig,Transport,False,28800,59,Moderate,Weak encryption 3DES; Perfect Forward Secrecy (PFS) is disabled
cc0f3c57-3f72-49e0-8f2b-2e5624a6a3fb,IKEv2,Main,AES-128-CBC,128,SHA256,2,PSK,Transport,False,3600,46,Moderate,Weak DH group 2; Perfect Forward Secrecy (PFS) is disabled
7d56b56a-9a70-4a61-aa21-0860255aea64,IKEv1,Quick,DES,56,MD5,31,ECDSA-Sig,Tunnel,True,86400,88,Critical,Legacy IKEv1 used; Weak encryption DES; Weak hash MD5
28add7be-d3cd-4087-8332-0392a809d5ac,IKEv2,Main,ChaCha20-Poly1305,256,SHA1,5,ECDSA-Sig,Tunnel,False,28800,84,Critical,Weak hash SHA1; Weak DH group 5; Perfect Forward Secrecy (PFS) is disabled
cd9b3ea9-dbd1-42ef-bed8-50067866513a,IKEv2,Main,3DES,112,SHA1,20,ECDSA-Sig,Tunnel,True,86400,70,Weak,Weak encryption 3DES; Weak hash SHA1
8e04afe0-7d83-4c8d-8775-30277a00655f,IKEv2,Main,DES,56,MD5,31,ECDSA-Sig,Transport,False,86400,88,Critical,Weak encryption DES; Weak hash MD5; Perfect Forward Secrecy (PFS) is disabled
8720ed16-3c38-4932-b92c-1edf02886fd8,IKEv2,Main,DES,56,SHA512,19,RSA-Sig,Transport,True,28800,45,Moderate,Weak encryption DES
00e44eea-05b5-4a5c-b51d-fdafdfae7b3e,IKEv2,Main,AES-256-CBC,256,SHA512,2,RSA-Sig,Tunnel,False,3600,52,Moderate,Weak DH group 2; Perfect Forward Secrecy (PFS) is disabled
72c34504-ccd9-4a8e-921b-b819314c3190,IKEv1,Quick,AES-128-CBC,128,SHA256,21,PSK,Tunnel,True,86400,21,Strong,Legacy IKEv1 used
2a5eecef-3c85-4166-9005-30551963d6db,IKEv2,Main,AES-256-CBC,256,SHA384,31,PSK,Tunnel,False,86400,25,Strong,Perfect Forward Secrecy (PFS) is disabled
b88b64f9-541a-4236-a32c-c52b13c9bbb3,IKEv2,Main,3DES,112,SHA512,2,ECDSA-Sig,Tunnel,True,3600,72,Weak,Weak encryption 3DES; Weak DH group 2
ad90a22d-19c0-48b6-9a4b-95c12d811fed,IKEv2,Main,3DES,112,SHA512,20,PSK,Transport,True,3600,37,Strong,Weak encryption 3DES
c3d8b27b-4b60-4c89-a231-a5c8d5bb5e08,IKEv2,Main,3DES,112,SHA1,1,RSA-Sig,Transport,True,86400,99,Critical,Weak encryption 3DES; Weak hash SHA1; Weak DH group 1
ee30322f-6caa-4377-b212-3277acfcd26b,IKEv1,Main,DES,56,SHA256,21,PSK,Tunnel,False,3600,77,Weak,Legacy IKEv1 used; Weak encryption DES; Perfect Forward Secrecy (PFS) is disabled
5bb6cc46-6c75-46d1-b785-853ef3973377,IKEv1,Quick,AES-256-GCM,256,SHA384,21,ECDSA-Sig,Tunnel,False,28800,38,Strong,Legacy IKEv1 used; Perfect Forward Secrecy (PFS) is disabled
7c7a183b-8612-4e77-8d42-9d27abfc9bf0,IKEv1,Quick,ChaCha20-Poly1305,256,SHA1,19,RSA-Sig,Transport,True,86400,53,Moderate,Legacy IKEv1 used; Weak hash SHA1
36c40105-8009-491b-8132-f19a213c9c27,IKEv2,Main,ChaCha20-Poly1305,256,SHA256,21,PSK,Transport,False,28800,23,Strong,Perfect Forward Secrecy (PFS) is disabled
914499f8-2c4b-483d-8d5f-36b5a6bdccf3,IKEv2,Main,DES,56,SHA512,14,RSA-Sig,Tunnel,True,3600,39,Strong,Weak encryption DES
3a374955-eaa6-4eb5-8364-7ac9a15635e0,IKEv1,Aggressive,ChaCha20-Poly1305,256,SHA384,1,PSK,Tunnel,False,3600,100,Critical,Legacy IKEv1 used; IKEv1 Aggressive mode vulnerable to offline dictionary attacks; Weak DH group 1; PSK with Aggressive Mode is highly risky; Perfect Forward Secrecy (PFS) is disabled
0a012ad1-f77e-40de-b53d-5fcfee8074d1,IKEv2,Main,AES-128-CBC,128,MD5,19,RSA-Sig,Tunnel,False,86400,51,Moderate,Weak hash MD5; Perfect Forward Secrecy (PFS) is disabled
9b94b5da-0dac-4829-9432-9a529dca1f00,IKEv2,Main,DES,56,SHA384,5,RSA-Sig,Tunnel,True,28800,74,Weak,Weak encryption DES; Weak DH group 5
f16f6cfd-7386-491d-8d91-ddd2daeefe52,IKEv2,Main,3DES,112,SHA256,31,ECDSA-Sig,Tunnel,False,3600,61,Weak,Weak encryption 3DES; Perfect Forward Secrecy (PFS) is disabled
037acaa8-821f-427e-b34a-443e51f562e3,IKEv2,Main,AES-256-GCM,256,SHA512,20,RSA-Sig,Tunnel,False,28800,20,Strong,Perfect Forward Secrecy (PFS) is disabled
2264df66-37c6-481d-a8b3-f76d57ef4db1,IKEv1,Aggressive,ChaCha20-Poly1305,256,MD5,21,ECDSA-Sig,Tunnel,True,3600,78,Weak,Legacy IKEv1 used; IKEv1 Aggressive mode vulnerable to offline dictionary attacks; Weak hash MD5
95898de8-e25f-497d-b885-77647ba66018,IKEv2,Main,ChaCha20-Poly1305,256,SHA1,14,ECDSA-Sig,Transport,True,28800,27,Strong,Weak hash SHA1
6bc68b0e-a1e0-4291-9f28-fef5437d4aed,IKEv2,Main,ChaCha20-Poly1305,256,SHA256,20,PSK,Transport,True,86400,3,Low,None
9a537045-3d52-4c67-a8b4-1de7483cf85b,IKEv2,Main,AES-128-CBC,128,SHA512,14,PSK,Transport,False,28800,22,Strong,Perfect Forward Secrecy (PFS) is disabled
e4f19c6b-2964-4cea-8813-d1288325654a,IKEv2,Main,AES-256-CBC,256,MD5,14,PSK,Transport,True,3600,26,Strong,Weak hash MD5
251e5a3f-1040-45fb-b15d-c959dca11bfb,IKEv2,Main,ChaCha20-Poly1305,256,SHA512,20,ECDSA-Sig,Tunnel,False,3600,15,Low,Perfect Forward Secrecy (PFS) is disabled
392ac537-3fac-42fa-a55c-c36f0b104dfa,IKEv2,Main,DES,56,SHA1,31,RSA-Sig,Tunnel,True,28800,66,Weak,Weak encryption DES; Weak hash SHA1
0b9a15d1-7fcc-4f0f-8673-1334f312781a,IKEv2,Main,AES-256-GCM,256,SHA1,14,PSK,Tunnel,True,3600,27,Strong,Weak hash SHA1
79ee777c-87ec-427d-b1d8-3f4ece794697,IKEv2,Main,AES-128-CBC,128,SHA256,20,ECDSA-Sig,Tunnel,True,28800,5,Low,None
400a0b6b-c71c-4b55-889d-83a1ad93cef5,IKEv2,Main,3DES,112,SHA512,31,ECDSA-Sig,Tunnel,False,86400,57,Moderate,Weak encryption 3DES; Perfect Forward Secrecy (PFS) is disabled
